TSS type,chr,start position
outron,chrI,1014557
outron,chrI,1018085
outron,chrI,1030816
outron,chrI,1034334
outron,chrI,1034455
outron,chrI,1041442
outron,chrI,1049135
exon,chrI,1053735
exon,chrI,1062338
outron,chrI,1067084
exon,chrI,1068582
exon,chrI,1084579
outron,chrI,1088606
outron,chrI,1097266
exon,chrI,1128326
outron,chrI,1141516
outron,chrI,1154762
outron,chrI,1156126
exon,chrI,1175836
outron,chrI,1176115
outron,chrI,1190649
outron,chrI,1210935
outron,chrI,1228059
outron,chrI,1271046
exon,chrI,1280817
outron,chrI,1305540
outron,chrI,1335346
outron,chrI,1336875
outron,chrI,1338328
outron,chrI,1340211
outron,chrI,1346904
exon,chrI,1375848
outron,chrI,1385683
outron,chrI,1392947
outron,chrI,1394310
outron,chrI,1403579
outron,chrI,1418523
outron,chrI,1416554
outron,chrI,1435242
outron,chrI,1435776
outron,chrI,1445493
exon,chrI,1471232
outron,chrI,1514506
outron,chrI,1514628
exon,chrI,1529522
outron,chrI,1540779
outron,chrI,1565635
outron,chrI,1585527
outron,chrI,1597032
exon,chrI,1601578
outron,chrI,1601779
outron,chrI,1610236
outron,chrI,1628640
outron,chrI,1628769
exon,chrI,1634751
exon,chrI,1651354
exon,chrI,1651479
exon,chrI,1661024
outron,chrI,1667250
outron,chrI,1676602
exon,chrI,1679089
exon,chrI,1693237
outron,chrI,1698129
outron,chrI,1700872
outron,chrI,1701975
outron,chrI,1709563
outron,chrI,1719386
outron,chrI,1754835
outron,chrI,1778691
exon,chrI,1782687
exon,chrI,1791395
outron,chrI,1792959
exon,chrI,1808097
exon,chrI,1816100
outron,chrI,1823337
outron,chrI,1832625
outron,chrI,1832740
outron,chrI,1834845
exon,chrI,1835718
outron,chrI,1841447
exon,chrI,1843106
outron,chrI,1845165
exon,chrI,1855385
exon,chrI,1861843
outron,chrI,1873784
exon,chrI,1874134
outron,chrI,1895632
outron,chrI,1895188
exon,chrI,1913936
outron,chrI,1914052
outron,chrI,1932301
outron,chrI,1958529
outron,chrI,1960415
outron,chrI,1965505
exon,chrI,1978019
exon,chrI,2003658
outron,chrI,2011236
outron,chrI,2025000
outron,chrI,2045073
exon,chrI,2050189
exon,chrI,2055074
outron,chrI,2064000
outron,chrI,2064124
outron,chrI,2064911
exon,chrI,2065734
outron,chrI,2070829
outron,chrI,2070952
outron,chrI,2072663
outron,chrI,2076115
exon,chrI,2093803
outron,chrI,2095333
outron,chrI,2118599
outron,chrI,2126974
outron,chrI,2213490
outron,chrI,2249336
exon,chrI,2275567
outron,chrI,2278651
outron,chrI,2291130
outron,chrI,2299605
outron,chrI,2304695
outron,chrI,2306891
outron,chrI,2305121
outron,chrI,2308891
outron,chrI,2312161
outron,chrI,2313181
outron,chrI,2315772
outron,chrI,2321909
exon,chrI,2325272
exon,chrI,2332655
exon,chrI,2333311
exon,chrI,2342292
exon,chrI,2357866
outron,chrI,2383397
outron,chrI,2401590
outron,chrI,2401264
outron,chrI,2420470
outron,chrI,2421825
exon,chrI,2432678
outron,chrI,2436349
outron,chrI,2433789
exon,chrI,2445518
outron,chrI,2457565
outron,chrI,2472319
outron,chrI,2488287
outron,chrI,2485712
outron,chrI,2489643
exon,chrI,2513840
outron,chrI,2531187
exon,chrI,2544754
exon,chrI,2548381
exon,chrI,2549226
exon,chrI,2552640
exon,chrI,2566730
outron,chrI,2576298
outron,chrI,2587603
outron,chrI,2603890
exon,chrI,2616432
outron,chrI,2620554
exon,chrI,2629425
exon,chrI,2631548
exon,chrI,2636081
outron,chrI,2642508
outron,chrI,2665299
exon,chrI,2689444
exon,chrI,2689521
outron,chrI,2697280
outron,chrI,2707334
outron,chrI,2722043
exon,chrI,2726705
outron,chrI,2726792
outron,chrI,2728931
outron,chrI,2731265
outron,chrI,2742980
outron,chrI,2759048
exon,chrI,2761016
outron,chrI,2773954
outron,chrI,2776192
outron,chrI,2780105
exon,chrI,2800783
outron,chrI,2800966
exon,chrI,2818767
outron,chrI,2822636
outron,chrI,2831520
exon,chrI,2835392
outron,chrI,2846423
exon,chrI,2853859
exon,chrI,2861283
outron,chrI,2864794
outron,chrI,2875370
outron,chrI,2876467
outron,chrI,2876601
outron,chrI,2878155
outron,chrI,2883743
exon,chrI,2889715
outron,chrI,2894938
outron,chrI,2901009
outron,chrI,2901313
exon,chrI,2914050
outron,chrI,2925537
outron,chrI,2925229
outron,chrI,2928281
outron,chrI,2929792
outron,chrI,2931307
exon,chrI,2941593
outron,chrI,2958125
outron,chrI,2983140
exon,chrI,2985195
outron,chrI,2995943
outron,chrI,2996441
outron,chrI,3003904
outron,chrI,3010583
outron,chrI,3015444
outron,chrI,3015536
outron,chrI,3021527
outron,chrI,3031134
exon,chrI,3033897
exon,chrI,3032988
outron,chrI,3049484
exon,chrI,3059147
exon,chrI,3059236
outron,chrI,3071283
outron,chrI,3085400
outron,chrI,3096276
outron,chrI,3102309
outron,chrI,3118859
exon,chrI,3140602
exon,chrI,3144423
outron,chrI,3147845
outron,chrI,3147976
exon,chrI,3152555
outron,chrI,3162717
outron,chrI,3167437
outron,chrI,3176418
outron,chrI,3192769
outron,chrI,3198913
outron,chrI,3205259
outron,chrI,3210536
outron,chrI,3223412
exon,chrI,3228027
outron,chrI,3228155
outron,chrI,3233329
outron,chrI,3247555
outron,chrI,3266721
outron,chrI,3266163
outron,chrI,3277910
outron,chrI,3296232
outron,chrI,3309693
outron,chrI,3319951
outron,chrI,3332783
exon,chrI,3336405
outron,chrI,3350008
outron,chrI,3349715
exon,chrI,3367759
outron,chrI,3368566
outron,chrI,3368792
outron,chrI,3405572
exon,chrI,3416808
outron,chrI,3438937
outron,chrI,3439021
exon,chrI,3444548
outron,chrI,3448922
outron,chrI,3466819
outron,chrI,3466927
exon,chrI,3478295
outron,chrI,3481821
exon,chrI,3499724
outron,chrI,3502872
outron,chrI,3514383
exon,chrI,3516515
exon,chrI,3533970
outron,chrI,3547191
exon,chrI,3547093
exon,chrI,3553189
outron,chrI,3563132
exon,chrI,3601663
exon,chrI,3603343
outron,chrI,3605727
outron,chrI,3605854
outron,chrI,3611749
exon,chrI,3620481
exon,chrI,3620550
outron,chrI,3626776
outron,chrI,3636618
outron,chrI,3636279
exon,chrI,3639643
outron,chrI,3648115
exon,chrI,3653081
exon,chrI,3662434
outron,chrI,3681967
outron,chrI,3684115
outron,chrI,3682071
exon,chrI,3694228
outron,chrI,3700325
outron,chrI,3698083
exon,chrI,3711328
outron,chrI,3725068
outron,chrI,3730974
exon,chrI,3741252
outron,chrI,3739406
exon,chrI,3745517
exon,chrI,3774708
exon,chrI,3781634
outron,chrI,3781940
outron,chrI,3786334
outron,chrI,3787866
outron,chrI,3793015
exon,chrI,3793203
outron,chrI,3798815
outron,chrI,3818910
outron,chrI,3817956
outron,chrI,3824476
outron,chrI,3826228
exon,chrI,3828193
exon,chrI,3837786
outron,chrI,3839812
outron,chrI,3842450
exon,chrI,3853840
outron,chrI,3859680
exon,chrI,3862558
outron,chrI,3866010
outron,chrI,3866111
exon,chrI,3875658
outron,chrI,3874043
outron,chrI,3876866
outron,chrI,3875770
outron,chrI,3880991
exon,chrI,3885908
outron,chrI,3888663
exon,chrI,3891531
exon,chrI,3892310
exon,chrI,3898166
exon,chrI,3899815
exon,chrI,3901537
outron,chrI,3907867
outron,chrI,3908648
outron,chrI,3910918
exon,chrI,3912803
exon,chrI,3920516
outron,chrI,3925782
outron,chrI,3930216
exon,chrI,3930314
exon,chrI,3943893
exon,chrI,3958615
exon,chrI,3977283
exon,chrI,3980026
exon,chrI,3987942
exon,chrI,4004322
outron,chrI,4032592
exon,chrI,4035748
outron,chrI,4116158
exon,chrI,4123336
exon,chrI,4126156
exon,chrI,4132246
outron,chrI,4132370
outron,chrI,4137749
outron,chrI,4139421
exon,chrI,4139476
exon,chrI,4147154
exon,chrI,4148304
exon,chrI,4149430
exon,chrI,4149982
exon,chrI,4154439
exon,chrI,4158731
outron,chrI,4161202
outron,chrI,4162025
outron,chrI,4164799
exon,chrI,4172676
outron,chrI,4173671
outron,chrI,4175030
outron,chrI,4175106
outron,chrI,4178544
outron,chrI,4178653
outron,chrI,4181745
exon,chrI,4184738
outron,chrI,4189764
outron,chrI,4203221
outron,chrI,4211770
outron,chrI,4210861
exon,chrI,4212534
exon,chrI,4215751
outron,chrI,4227831
outron,chrI,4235753
outron,chrI,4242778
exon,chrI,4247583
outron,chrI,4247647
outron,chrI,4249278
exon,chrI,4254241
outron,chrI,4264349
outron,chrI,4268211
outron,chrI,4270493
outron,chrI,4270631
exon,chrI,4273127
outron,chrI,4301807
exon,chrI,4320889
exon,chrI,4367910
outron,chrI,4372184
outron,chrI,4374206
outron,chrI,4373236
outron,chrI,4381931
outron,chrI,4386608
exon,chrI,4402081
outron,chrI,4409132
outron,chrI,4420932
outron,chrI,4432747
outron,chrI,4444426
outron,chrI,4444521
outron,chrI,4448478
outron,chrI,4449973
outron,chrI,4451080
exon,chrI,4458618
outron,chrI,4457363
exon,chrI,4463401
exon,chrI,4461665
outron,chrI,4480433
outron,chrI,4491067
outron,chrI,4511228
outron,chrI,4516237
exon,chrI,4517231
outron,chrI,4536035
outron,chrI,4540942
exon,chrI,4555428
outron,chrI,4557158
outron,chrI,4564080
outron,chrI,4571078
outron,chrI,4580987
outron,chrI,4583859
outron,chrI,4584803
outron,chrI,4586230
outron,chrI,4592367
outron,chrI,4603099
outron,chrI,4604067
exon,chrI,4605679
exon,chrI,4623251
exon,chrI,4631444
outron,chrI,4632992
outron,chrI,4636608
outron,chrI,4640966
outron,chrI,4645300
outron,chrI,4644467
outron,chrI,4647198
outron,chrI,4647349
outron,chrI,4652102
exon,chrI,4654283
outron,chrI,4654305
exon,chrI,4663572
outron,chrI,4672218
outron,chrI,4673564
exon,chrI,4679647
outron,chrI,4703369
exon,chrI,4705862
outron,chrI,4715371
exon,chrI,4719556
exon,chrI,4721191
exon,chrI,4727309
exon,chrI,4731604
outron,chrI,4753711
outron,chrI,4767841
exon,chrI,4765624
outron,chrI,4768022
outron,chrI,4773061
outron,chrI,4778804
outron,chrI,4797779
outron,chrI,4805552
outron,chrI,4827025
outron,chrI,4830002
outron,chrI,4835724
exon,chrI,4847350
outron,chrI,4882075
exon,chrI,4895963
exon,chrI,4901018
exon,chrI,4901973
outron,chrI,4916310
outron,chrI,4917790
outron,chrI,4926510
outron,chrI,4926622
outron,chrI,4928711
exon,chrI,4933186
outron,chrI,4950775
outron,chrI,4951612
outron,chrI,4957724
outron,chrI,4958310
exon,chrI,4958394
outron,chrI,4977831
exon,chrI,4994632
outron,chrI,4993914
outron,chrI,5003292
outron,chrI,5018750
exon,chrI,5020086
exon,chrI,5020614
outron,chrI,5025561
outron,chrI,5040778
exon,chrI,5043066
exon,chrI,5045734
exon,chrI,5048018
outron,chrI,5049543
outron,chrI,5055581
exon,chrI,5053414
outron,chrI,5069180
outron,chrI,5082416
outron,chrI,5093784
exon,chrI,5100760
outron,chrI,5104959
outron,chrI,5106140
exon,chrI,5106255
outron,chrI,5107662
exon,chrI,5111371
outron,chrI,5113797
outron,chrI,5118890
outron,chrI,5127617
outron,chrI,5129667
outron,chrI,5131511
outron,chrI,5134682
outron,chrI,5138149
outron,chrI,5141537
outron,chrI,5164949
outron,chrI,5165095
exon,chrI,5175051
outron,chrI,5182675
exon,chrI,5186938
outron,chrI,5188663
outron,chrI,5195501
exon,chrI,5203444
outron,chrI,5211020
outron,chrI,5243250
exon,chrI,5244347
outron,chrI,5245651
exon,chrI,5258762
outron,chrI,5263027
outron,chrI,5272631
exon,chrI,5274248
outron,chrI,5278959
outron,chrI,5281584
outron,chrI,5284323
outron,chrI,5301655
exon,chrI,5311354
exon,chrI,5313399
outron,chrI,5319290
outron,chrI,5316784
exon,chrI,5322300
exon,chrI,5332783
exon,chrI,5339584
exon,chrI,5337183
outron,chrI,5345279
outron,chrI,5344530
outron,chrI,5354165
outron,chrI,5358307
outron,chrI,5364745
outron,chrI,5367858
outron,chrI,5366977
outron,chrI,5377903
exon,chrI,5377863
exon,chrI,5386714
exon,chrI,5397089
exon,chrI,5399304
outron,chrI,5409710
outron,chrI,5420934
outron,chrI,5422486
exon,chrI,5425142
outron,chrI,5428670
exon,chrI,5429896
outron,chrI,5429979
outron,chrI,5447084
outron,chrI,5471163
outron,chrI,5479872
outron,chrI,5484805
outron,chrI,5485952
exon,chrI,5486069
exon,chrI,5491500
exon,chrI,5497682
outron,chrI,5507397
outron,chrI,5509291
exon,chrI,5510378
outron,chrI,5509396
exon,chrI,5518778
outron,chrI,5518986
outron,chrI,5533816
outron,chrI,5545768
outron,chrI,5550548
outron,chrI,5563858
outron,chrI,5571954
outron,chrI,5572090
outron,chrI,5579552
outron,chrI,5607622
outron,chrI,5609589
outron,chrI,5610595
outron,chrI,5616863
exon,chrI,5620780
exon,chrI,5626114
outron,chrI,5626585
exon,chrI,5642462
outron,chrI,5644497
outron,chrI,5649893
outron,chrI,5653655
outron,chrI,5658152
outron,chrI,5659127
exon,chrI,5661275
outron,chrI,5662146
outron,chrI,5670390
outron,chrI,5675093
outron,chrI,5673823
outron,chrI,5676488
outron,chrI,5677968
outron,chrI,5691855
outron,chrI,5699281
exon,chrI,5716592
outron,chrI,5744153
exon,chrI,5746640
exon,chrI,5762428
exon,chrI,5766377
exon,chrI,5768997
exon,chrI,5774588
outron,chrI,5783534
outron,chrI,5791969
outron,chrI,5801959
outron,chrI,5807514
outron,chrI,5810383
outron,chrI,5818868
outron,chrI,5821177
outron,chrI,5827565
outron,chrI,5829113
exon,chrI,5845439
outron,chrI,5857693
outron,chrI,5862816
outron,chrI,5868724
outron,chrI,5871970
outron,chrI,5869348
outron,chrI,5884075
exon,chrI,5895659
outron,chrI,5904397
outron,chrI,5904494
exon,chrI,5918075
outron,chrI,5937079
outron,chrI,5937223
outron,chrI,5941076
exon,chrI,5978645
outron,chrI,5986017
outron,chrI,5986453
outron,chrI,5990419
outron,chrI,6001102
outron,chrI,6007644
outron,chrI,6009626
outron,chrI,6011985
outron,chrI,6028430
outron,chrI,6033601
outron,chrI,6038258
outron,chrI,6041661
exon,chrI,6050449
outron,chrI,6056175
outron,chrI,6061060
outron,chrI,6063843
outron,chrI,6068726
outron,chrI,6070497
outron,chrI,6080698
exon,chrI,6087759
exon,chrI,6091084
exon,chrI,6097836
outron,chrI,6107992
outron,chrI,6109720
outron,chrI,6109857
exon,chrI,6122143
outron,chrI,6133106
exon,chrI,6149238
exon,chrI,6163240
outron,chrI,6166711
outron,chrI,6173406
outron,chrI,6181629
outron,chrI,6185711
outron,chrI,6184067
outron,chrI,6185375
outron,chrI,6187985
outron,chrI,6195380
exon,chrI,6202940
exon,chrI,6203117
exon,chrI,6211237
outron,chrI,6211983
outron,chrI,6215500
outron,chrI,6220946
exon,chrI,6223278
exon,chrI,6228094
exon,chrI,6230550
exon,chrI,6234308
exon,chrI,6236670
exon,chrI,6250069
exon,chrI,6250210
outron,chrI,6253044
outron,chrI,6254974
outron,chrI,6259375
exon,chrI,6274249
exon,chrI,6277802
exon,chrI,6287665
outron,chrI,6295052
exon,chrI,6297460
exon,chrI,6305890
exon,chrI,6311253
outron,chrI,6314985
outron,chrI,6317139
outron,chrI,6324158
outron,chrI,6360513
exon,chrI,6358655
outron,chrI,6360250
exon,chrI,6365025
exon,chrI,6366383
outron,chrI,6393392
outron,chrI,6404054
exon,chrI,6407005
outron,chrI,6407522
exon,chrI,6416830
exon,chrI,6421932
exon,chrI,6422021
outron,chrI,6436098
outron,chrI,6449228
outron,chrI,6447106
exon,chrI,6456941
outron,chrI,6459649
outron,chrI,6465971
exon,chrI,6464228
exon,chrI,6467721
outron,chrI,6471964
outron,chrI,6482037
outron,chrI,6492795
outron,chrI,6493890
outron,chrI,6494203
outron,chrI,6499501
outron,chrI,6506182
outron,chrI,6513843
exon,chrI,6513964
outron,chrI,6533007
exon,chrI,6532173
outron,chrI,6541630
exon,chrI,6542143
exon,chrI,6545004
outron,chrI,6550494
outron,chrI,6552647
outron,chrI,6553448
outron,chrI,6554591
exon,chrI,6554737
outron,chrI,6558358
outron,chrI,6562634
outron,chrI,6564584
outron,chrI,6565898
outron,chrI,6565085
exon,chrI,6569213
exon,chrI,6584733
exon,chrI,6589567
exon,chrI,6594323
exon,chrI,6596559
outron,chrI,6609640
exon,chrI,6615954
exon,chrI,6616138
exon,chrI,6625274
outron,chrI,6626881
outron,chrI,6651153
exon,chrI,6655369
exon,chrI,6663119
exon,chrI,6711200
outron,chrI,6717702
outron,chrI,6721331
outron,chrI,6724924
outron,chrI,6729571
outron,chrI,6733491
outron,chrI,6738579
outron,chrI,6737041
outron,chrI,6741160
outron,chrI,6741799
outron,chrI,6745608
outron,chrI,6756504
outron,chrI,6757368
outron,chrI,6760277
outron,chrI,6760391
outron,chrI,6768419
outron,chrI,6779925
exon,chrI,6784171
outron,chrI,6789102
outron,chrI,6790094
outron,chrI,6790550
exon,chrI,6799609
exon,chrI,6810381
outron,chrI,6814380
outron,chrI,6835504
exon,chrI,6837935
exon,chrI,6843598
exon,chrI,6847302
outron,chrI,6847515
outron,chrI,6850108
outron,chrI,6868418
outron,chrI,6876684
exon,chrI,6886749
exon,chrI,6901328
outron,chrI,6914126
outron,chrI,6914211
outron,chrI,6916622
exon,chrI,6922988
outron,chrI,6924337
outron,chrI,6925630
outron,chrI,6924029
outron,chrI,6930383
outron,chrI,6943023
outron,chrI,6946100
outron,chrI,6950707
exon,chrI,6954218
outron,chrI,6963477
outron,chrI,6970254
outron,chrI,6972359
exon,chrI,6973708
outron,chrI,6974515
outron,chrI,6986930
exon,chrI,6999634
exon,chrI,7005475
outron,chrI,7015740
outron,chrI,7021410
outron,chrI,7021584
outron,chrI,7036081
exon,chrI,7053771
exon,chrI,7054881
outron,chrI,7056402
outron,chrI,7056500
outron,chrI,7065177
outron,chrI,7069243
outron,chrI,7069352
exon,chrI,7080142
outron,chrI,7081791
outron,chrI,7090262
outron,chrI,7089197
outron,chrI,7094964
outron,chrI,7095269
outron,chrI,7110103
exon,chrI,7116705
exon,chrI,7116966
exon,chrI,7131165
exon,chrI,7139899
outron,chrI,7152743
outron,chrI,7159012
outron,chrI,7158204
outron,chrI,7160992
exon,chrI,7168809
outron,chrI,7170001
outron,chrI,7176752
outron,chrI,7181345
exon,chrI,7185700
exon,chrI,7188527
outron,chrI,7194845
exon,chrI,7204315
exon,chrI,7207644
exon,chrI,7209768
outron,chrI,7210541
exon,chrI,7214945
outron,chrI,7221176
outron,chrI,7224773
exon,chrI,7227879
outron,chrI,7233186
outron,chrI,7243874
outron,chrI,7248888
outron,chrI,7253098
outron,chrI,7251796
outron,chrI,7255192
exon,chrI,7267072
exon,chrI,7278566
outron,chrI,7282978
exon,chrI,7283784
exon,chrI,7295758
exon,chrI,7300324
outron,chrI,7300975
outron,chrI,7303293
outron,chrI,7304777
outron,chrI,7304900
outron,chrI,7306717
outron,chrI,7312153
outron,chrI,7313621
outron,chrI,7314392
outron,chrI,7315921
exon,chrI,7323652
exon,chrI,7342823
outron,chrI,7347363
outron,chrI,7345700
outron,chrI,7352103
exon,chrI,7350071
outron,chrI,7354408
exon,chrI,7383153
exon,chrI,7395883
exon,chrI,7400987
exon,chrI,7405033
outron,chrI,7420022
exon,chrI,7453738
outron,chrI,7461078
outron,chrI,7466743
outron,chrI,7475058
exon,chrI,7479545
exon,chrI,7486586
outron,chrI,7492682
outron,chrI,7494229
outron,chrI,7492774
exon,chrI,7506957
exon,chrI,7503233
exon,chrI,7508020
exon,chrI,7515087
outron,chrI,7521026
exon,chrI,7526384
exon,chrI,7532273
outron,chrI,7552669
outron,chrI,7559715
outron,chrI,7564336
outron,chrI,7574210
outron,chrI,7581848
outron,chrI,7581939
exon,chrI,7583930
outron,chrI,7588546
exon,chrI,7588655
outron,chrI,7590634
outron,chrI,7591224
outron,chrI,7594815
exon,chrI,7601900
outron,chrI,7640013
outron,chrI,7642422
outron,chrI,7649997
outron,chrI,7658394
exon,chrI,7672763
outron,chrI,7676238
outron,chrI,7675275
outron,chrI,7678801
outron,chrI,7682841
outron,chrI,7689576
outron,chrI,7693802
outron,chrI,7695221
exon,chrI,7697895
exon,chrI,7702067
outron,chrI,7701116
outron,chrI,7724718
outron,chrI,7724821
outron,chrI,7726907
outron,chrI,7728877
outron,chrI,7730999
outron,chrI,7755746
exon,chrI,7772449
exon,chrI,7786159
outron,chrI,7814966
outron,chrI,7820748
exon,chrI,7832892
exon,chrI,7835416
outron,chrI,7835710
outron,chrI,7836781
outron,chrI,7839771
outron,chrI,7849055
outron,chrI,7861535
outron,chrI,7875580
outron,chrI,7884004
outron,chrI,7889412
exon,chrI,7894930
exon,chrI,7905327
outron,chrI,7918632
outron,chrI,7927045
outron,chrI,7935783
outron,chrI,7936188
outron,chrI,7938068
exon,chrI,7940742
outron,chrI,7940817
outron,chrI,7942874
outron,chrI,7952442
exon,chrI,7962291
outron,chrI,7961958
outron,chrI,7969333
exon,chrI,7980670
outron,chrI,7992873
outron,chrI,8012295
exon,chrI,8023213
outron,chrI,8024667
outron,chrI,8026724
outron,chrI,8027964
outron,chrI,8037141
outron,chrI,8039796
outron,chrI,8040679
exon,chrI,8049345
outron,chrI,8048730
outron,chrI,8057790
exon,chrI,8055251
outron,chrI,8082390
outron,chrI,8095390
outron,chrI,8101832
outron,chrI,8121381
outron,chrI,8124587
exon,chrI,8170968
outron,chrI,8214352
outron,chrI,8218439
outron,chrI,8223045
outron,chrI,8233313
exon,chrI,8241561
exon,chrI,8245615
exon,chrI,8250914
outron,chrI,8255583
outron,chrI,8255250
exon,chrI,8259564
outron,chrI,8261969
exon,chrI,8270307
exon,chrI,8281984
outron,chrI,8289175
outron,chrI,8291123
outron,chrI,8293987
outron,chrI,8294067
exon,chrI,8315333
outron,chrI,8318522
outron,chrI,8324047
outron,chrI,8323465
outron,chrI,8329738
exon,chrI,8330493
exon,chrI,8333146
outron,chrI,8336542
outron,chrI,8351592
outron,chrI,8364114
exon,chrI,8392724
outron,chrI,8393290
outron,chrI,8407997
outron,chrI,8412880
outron,chrI,8413005
outron,chrI,8416379
outron,chrI,8426859
outron,chrI,8429896
outron,chrI,8434499
outron,chrI,8438624
outron,chrI,8452133
outron,chrI,8459119
outron,chrI,8487372
outron,chrI,8487496
outron,chrI,8491022
outron,chrI,8511331
exon,chrI,8512411
outron,chrI,8511883
outron,chrI,8526932
outron,chrI,8529462
outron,chrI,8531553
exon,chrI,8549525
outron,chrI,8574010
outron,chrI,8583020
outron,chrI,8590809
outron,chrI,8591977
outron,chrI,8592942
outron,chrI,8596249
outron,chrI,8601053
outron,chrI,8608785
outron,chrI,8608937
outron,chrI,8615155
outron,chrI,8615274
exon,chrI,8631905
exon,chrI,8633928
outron,chrI,8637941
outron,chrI,8640345
outron,chrI,8640444
outron,chrI,8644359
outron,chrI,8646150
outron,chrI,8659844
outron,chrI,8664452
outron,chrI,8664933
exon,chrI,8687098
outron,chrI,8691005
outron,chrI,8693426
outron,chrI,8692677
outron,chrI,8695328
outron,chrI,8696375
outron,chrI,8696450
outron,chrI,8702398
outron,chrI,8728544
outron,chrI,8728712
outron,chrI,8730076
exon,chrI,8731686
outron,chrI,8735920
outron,chrI,8735990
exon,chrI,8737019
exon,chrI,8753514
outron,chrI,8751673
outron,chrI,8759057
outron,chrI,8759861
outron,chrI,8761677
exon,chrI,8768084
outron,chrI,8768234
exon,chrI,8779922
outron,chrI,8785460
outron,chrI,8792516
outron,chrI,8804981
outron,chrI,8808446
exon,chrI,8813393
outron,chrI,8813515
outron,chrI,8816492
outron,chrI,8814914
exon,chrI,8821008
exon,chrI,8825610
exon,chrI,8828210
exon,chrI,8838146
exon,chrI,8846003
outron,chrI,8853165
outron,chrI,8863792
outron,chrI,8865667
outron,chrI,8869207
outron,chrI,8896751
outron,chrI,8902590
outron,chrI,8905512
outron,chrI,8917245
exon,chrI,8920600
outron,chrI,8928145
exon,chrI,8946192
exon,chrI,8947192
exon,chrI,8948880
exon,chrI,8960881
outron,chrI,8962151
outron,chrI,8965921
outron,chrI,8970098
outron,chrI,8970212
exon,chrI,8975849
exon,chrI,8988678
exon,chrI,8993994
exon,chrI,8998536
outron,chrI,8999750
exon,chrI,9002096
outron,chrI,9003975
outron,chrI,9008954
outron,chrI,9014040
exon,chrI,9017403
outron,chrI,9014170
exon,chrI,9018626
exon,chrI,9041313
exon,chrI,9048237
outron,chrI,9049408
exon,chrI,9055391
outron,chrI,9055496
exon,chrI,9058437
outron,chrI,9063466
outron,chrI,9064683
outron,chrI,9064782
outron,chrI,9080092
outron,chrI,9095577
outron,chrI,9110869
outron,chrI,9118052
exon,chrI,9122104
outron,chrI,9130093
outron,chrI,9138767
outron,chrI,9141764
outron,chrI,9144560
exon,chrI,9157687
outron,chrI,9159594
exon,chrI,9163569
outron,chrI,9167415
outron,chrI,9182083
outron,chrI,9211123
outron,chrI,9221824
outron,chrI,9226820
exon,chrI,9226945
outron,chrI,9228050
outron,chrI,9234414
exon,chrI,9249355
outron,chrI,9262970
exon,chrI,9270927
outron,chrI,9281250
outron,chrI,9286686
outron,chrI,9286773
outron,chrI,9294576
outron,chrI,9307629
outron,chrI,9307789
outron,chrI,9309922
outron,chrI,9315573
exon,chrI,9315928
outron,chrI,9343746
exon,chrI,9390770
outron,chrI,9394236
outron,chrI,9405411
exon,chrI,9411995
outron,chrI,9410444
outron,chrI,9419295
outron,chrI,9421140
outron,chrI,9422452
outron,chrI,9431141
exon,chrI,9456574
exon,chrI,9459278
outron,chrI,9463308
outron,chrI,9469547
outron,chrI,9471340
exon,chrI,9475835
outron,chrI,9478995
exon,chrI,9480697
exon,chrI,9480886
exon,chrI,9483201
